"mpg"	"Freq"
"15.5"	1
"16.2"	1
"16.5"	1
"16.9"	1
"17"	2
"17.5"	1
"17.6"	2
"17.7"	1
"18.1"	2
"18.2"	1
"18.5"	1
"18.6"	1
"19.1"	1
"19.2"	3
"19.4"	2
"19.8"	1
"19.9"	1
"20.2"	4
"20.3"	1
"20.5"	2
"20.6"	2
"20.8"	1
"21.1"	1
"21.5"	1
"21.6"	1
"22"	1
"22.3"	1
"22.4"	1
"23"	2
"23.2"	1
"23.5"	1
"23.6"	1
"23.7"	1
"23.8"	1
"23.9"	2
"24"	1
"24.2"	1
"24.3"	1
"25"	1
"25.1"	1
"25.4"	2
"25.8"	1
"26"	1
"26.4"	1
"26.6"	2
"26.8"	1
"27"	4
"27.2"	3
"27.4"	1
"27.5"	1
"27.9"	1
"28"	3
"28.1"	1
"28.4"	1
"28.8"	1
"29"	1
"29.5"	1
"29.8"	2
"29.9"	1
"30"	2
"30.4"	1
"30.7"	1
"30.9"	1
"31"	3
"31.3"	1
"31.5"	1
"31.6"	1
"31.8"	1
"31.9"	1
"32"	3
"32.1"	1
"32.2"	1
"32.3"	1
"32.4"	2
"32.7"	1
"32.8"	1
"32.9"	1
"33"	1
"33.5"	1
"33.7"	1
"33.8"	1
"34"	2
"34.1"	2
"34.2"	1
"34.3"	1
"34.4"	1
"34.5"	2
"34.7"	1
"35"	1
"35.1"	1
"35.7"	1
"36"	5
"36.1"	2
"36.4"	1
"37"	3
"37.2"	1
"37.3"	1
"37.7"	1
"38"	4
"38.1"	1
"39"	1
"39.1"	1
"39.4"	1
"40.8"	1
"40.9"	1
"41.5"	1
"43.1"	1
"43.4"	1
"44"	1
"44.3"	1
"44.6"	1
"46.6"	1
